Account_ID,Account_Name,Parent_Account_ID,Parent_Account_Name,Account_Owner_ID,Account_Owner_Name,SDR_Owner_ID,SDR_Owner_Name,Billing_City,Billing_State,Industry,Sub_Industry,NAICS_Code,Account_Score,Revenue_Range,Employee_Count
ACC000878,Zenith Holdings,,,USR006,David Kim,,,Fort Worth,TX,Healthcare,Hospitals,624757,50.73,<$10M,30
ACC000879,Apex Solutions,,,USR001,Sarah Chen,SDR033,SDR Jordan,Fort Worth,TX,Telecommunications,Cable,511692,6.12,<$10M,48
ACC000880,Apex Solutions,,,USR004,James Wilson,,,Fort Worth,TX,Technology,Cloud Computing,513149,41.15,$100M-$500M,4590
ACC000881,Titan Solutions,,,USR018,Ryan Clark,SDR007,SDR Taylor,Las Vegas,NV,Retail,E-commerce,447408,46.39,<$10M,87
ACC000882,Global Group,,,USR007,Amanda Foster,SDR025,SDR Avery,San Jose,CA,Retail,Specialty Retail,444641,9.68,$500M-$1B,9595
ACC000883,Apex Industries,,,USR016,Brian Moore,SDR049,SDR Riley,Seattle,WA,Retail,Grocery,448409,44.92,<$10M,13
ACC000884,Stellar Ventures,,,USR010,Christopher Lee,SDR007,SDR Jordan,Seattle,WA,Energy,Renewable Energy,219025,31.3,$50M-$100M,542
ACC000885,Stellar Holdings,,,USR019,Nicole Lewis,SDR050,SDR Alex,San Francisco,CA,Financial Services,FinTech,526102,35.81,$50M-$100M,927
ACC000886,Titan Inc,,,USR007,Amanda Foster,SDR035,SDR Avery,San Francisco,CA,Financial Services,Banking,524862,36.7,$10M-$50M,462
ACC000887,Advanced Technologies,,,USR003,Emily Thompson,SDR011,SDR Alex,Indianapolis,IN,Media & Entertainment,Film & TV,513722,14.09,<$10M,24
ACC000888,Stellar Enterprises,,,USR018,Ryan Clark,SDR019,SDR Alex,Houston,TX,Technology,AI/ML,515820,5.06,$50M-$100M,950
ACC000889,Zenith Ventures,,,USR005,Jessica Martinez,SDR040,SDR Morgan,Portland,OR,Education,EdTech,615116,42.89,$10M-$50M,207
ACC000890,Stellar Solutions,,,USR006,David Kim,SDR001,SDR Jordan,San Jose,CA,Telecommunications,Internet Service,514264,12.44,$50M-$100M,775
ACC000891,Phoenix Ventures,,,USR012,Daniel Anderson,SDR023,SDR Morgan,Nashville,TN,Media & Entertainment,Publishing,514156,18.06,<$10M,64
ACC000892,Atlas Group,,,USR007,Amanda Foster,SDR007,SDR Taylor,Las Vegas,NV,Real Estate,REITs,533921,66.1,<$10M,23
ACC000893,Atlas Corp,,,USR019,Nicole Lewis,SDR014,SDR Avery,Philadelphia,PA,Financial Services,Payments,524798,31.01,>$1B,15985
ACC000894,Stellar Inc,,,USR003,Emily Thompson,,,Los Angeles,CA,Real Estate,Residential,538203,32.39,$10M-$50M,341
ACC000895,Innovative Systems,,,USR013,Ashley Brown,SDR023,SDR Avery,San Jose,CA,Telecommunications,Cable,516193,19.59,$10M-$50M,409
ACC000896,Phoenix Ventures - South,ACC000480,Phoenix Ventures,USR014,Kevin Martinez,SDR045,SDR Avery,Miami,FL,Manufacturing,Automotive,312970,47.73,$50M-$100M,722
ACC000897,Zenith Inc,,,USR012,Daniel Anderson,SDR040,SDR Morgan,Seattle,WA,Education,EdTech,614129,6.72,$10M-$50M,191
ACC000898,Zenith Holdings,,,USR019,Nicole Lewis,SDR024,SDR Jordan,Dallas,TX,Professional Services,Consulting,541212,43.57,$50M-$100M,517
ACC000899,Atlas Solutions,,,USR009,Lauren Davis,SDR037,SDR Alex,Raleigh,NC,Education,EdTech,618713,8.34,>$1B,39784
ACC000900,Innovative Solutions,,,USR020,Matthew Walker,,,Phoenix,AZ,Media & Entertainment,Gaming,513898,65.15,$100M-$500M,1539
ACC000901,Vertex International - North,ACC000196,Vertex International,USR015,Stephanie Garcia,SDR021,SDR Alex,Houston,TX,Healthcare,Health Insurance,625546,40.4,>$1B,22725
ACC000902,Summit Solutions - East,ACC000604,Summit Solutions,USR006,David Kim,,,Denver,CO,Education,Tutoring,617000,13.28,$10M-$50M,440
ACC000903,Stellar Technologies - North,ACC000090,Stellar Technologies,USR007,Amanda Foster,,,Indianapolis,IN,Energy,Energy Storage,215368,25.5,<$10M,66
ACC000904,Titan Enterprises,,,USR001,Sarah Chen,SDR008,SDR Riley,Austin,TX,Technology,Cybersecurity,512410,45.65,$50M-$100M,737
ACC000905,Innovative Services - North,ACC000283,Innovative Services,USR006,David Kim,SDR050,SDR Alex,Philadelphia,PA,Healthcare,Hospitals,624563,18.87,$50M-$100M,735
ACC000906,Summit Consulting,,,USR005,Jessica Martinez,SDR046,SDR Jamie,San Jose,CA,Healthcare,Pharmaceuticals,623300,20.24,$50M-$100M,711
ACC000907,Summit Enterprises,,,USR009,Lauren Davis,SDR006,SDR Casey,San Francisco,CA,Manufacturing,Automotive,316957,50.59,$10M-$50M,428
ACC000908,Titan Holdings - North,ACC000267,Titan Holdings,USR019,Nicole Lewis,SDR045,SDR Morgan,Columbus,OH,Transportation,Public Transit,485729,24.26,<$10M,99
ACC000909,Atlas Services - North,ACC000465,Atlas Services,USR017,Jennifer White,SDR014,SDR Casey,Charlotte,NC,Transportation,Rideshare,482889,41.33,$10M-$50M,423
ACC000910,Vertex Corp,,,USR019,Nicole Lewis,,,Austin,TX,Financial Services,FinTech,526879,43.17,$100M-$500M,1032
ACC000911,Vertex International,,,USR006,David Kim,,,San Jose,CA,Financial Services,FinTech,529958,42.78,<$10M,12
ACC000912,Titan Consulting,,,USR008,Robert Jackson,SDR039,SDR Riley,Austin,TX,Media & Entertainment,Film & TV,517572,45.37,$10M-$50M,219
ACC000913,Quantum Ventures,,,USR001,Sarah Chen,SDR020,SDR Taylor,Boston,MA,Transportation,Logistics,489586,56.07,<$10M,82
ACC000914,Premier Technologies,,,USR005,Jessica Martinez,,,Charlotte,NC,Financial Services,Insurance,528546,15.95,<$10M,28
ACC000915,Advanced Enterprises,,,USR007,Amanda Foster,SDR010,SDR Morgan,Detroit,MI,Manufacturing,Automotive,317131,42.35,<$10M,30
ACC000916,Atlas Consulting,,,USR016,Brian Moore,SDR046,SDR Avery,San Diego,CA,Telecommunications,Mobile Carriers,512569,66.07,$10M-$50M,262
ACC000917,Strategic Solutions - West,ACC000513,Strategic Solutions,USR020,Matthew Walker,SDR023,SDR Jordan,San Francisco,CA,Financial Services,FinTech,521440,52.23,<$10M,87
ACC000918,Vertex Holdings,,,USR020,Matthew Walker,SDR005,SDR Jamie,Nashville,TN,Financial Services,Insurance,529191,37.16,<$10M,37
ACC000919,Atlas International,,,USR005,Jessica Martinez,SDR044,SDR Jamie,Raleigh,NC,Retail,Grocery,445276,46.93,$500M-$1B,8454
ACC000920,Innovative Partners,,,USR012,Daniel Anderson,SDR042,SDR Jordan,Minneapolis,MN,Financial Services,Insurance,521200,80.82,<$10M,26
ACC000921,Phoenix Solutions,,,USR013,Ashley Brown,SDR020,SDR Alex,Columbus,OH,Real Estate,Construction,532899,34.19,$50M-$100M,910
ACC000922,Stellar Consulting,,,USR018,Ryan Clark,,,Houston,TX,Media & Entertainment,Film & TV,517947,41.65,$10M-$50M,296
ACC000923,Vertex Consulting,,,USR007,Amanda Foster,SDR028,SDR Avery,Los Angeles,CA,Education,Higher Education,611652,37.73,<$10M,72
ACC000924,Zenith Group,,,USR010,Christopher Lee,SDR035,SDR Alex,Dallas,TX,Media & Entertainment,Publishing,516847,7.88,$10M-$50M,328
ACC000925,Innovative Corp,,,USR018,Ryan Clark,SDR012,SDR Morgan,Chicago,IL,Telecommunications,Cable,513065,44.03,$50M-$100M,824
ACC000926,Global Holdings - West,ACC000619,Global Holdings,USR020,Matthew Walker,SDR003,SDR Avery,Chicago,IL,Media & Entertainment,Music,511627,9.08,<$10M,91
ACC000927,Advanced Corp,,,USR010,Christopher Lee,SDR012,SDR Alex,Las Vegas,NV,Healthcare,Health Insurance,622298,37.89,$100M-$500M,2775
ACC000928,Nexus Ventures,,,USR008,Robert Jackson,SDR024,SDR Alex,Denver,CO,Healthcare,Pharmaceuticals,628158,7.72,<$10M,98
ACC000929,Premier Ventures,,,USR006,David Kim,SDR001,SDR Casey,Columbus,OH,Financial Services,Investment Management,527788,14.63,$50M-$100M,640
ACC000930,Vertex Technologies,,,USR001,Sarah Chen,SDR005,SDR Morgan,Boston,MA,Retail,Grocery,448547,18.37,$50M-$100M,825
ACC000931,Stellar Holdings,,,USR011,Michelle Taylor,SDR010,SDR Avery,Charlotte,NC,Real Estate,REITs,539175,20.33,<$10M,99
ACC000932,Premier International,,,USR003,Emily Thompson,SDR006,SDR Riley,San Antonio,TX,Financial Services,FinTech,529676,56.18,$10M-$50M,249
ACC000933,Global Enterprises,,,USR006,David Kim,SDR027,SDR Jamie,Atlanta,GA,Telecommunications,Satellite,515651,21.18,$50M-$100M,751
ACC000934,Dynamic Holdings - West,ACC000201,Dynamic Holdings,USR020,Matthew Walker,,,Houston,TX,Manufacturing,Electronics,314576,9.24,<$10M,24
ACC000935,Dynamic Services,,,USR013,Ashley Brown,SDR049,SDR Riley,San Antonio,TX,Real Estate,REITs,535569,17.24,$10M-$50M,285
ACC000936,Vertex Holdings,,,USR013,Ashley Brown,SDR032,SDR Jamie,Atlanta,GA,Education,Higher Education,618363,30.9,<$10M,32
ACC000937,Vertex Services,,,USR006,David Kim,SDR025,SDR Jordan,Denver,CO,Energy,Utilities,217852,31.67,$10M-$50M,425
ACC000938,Advanced Ventures,,,USR014,Kevin Martinez,,,Austin,TX,Technology,DevOps,513727,38.64,$50M-$100M,741
ACC000939,Apex Inc - Central,ACC000035,Apex Inc,USR013,Ashley Brown,SDR011,SDR Morgan,Charlotte,NC,Education,Higher Education,614920,43.76,<$10M,35
ACC000940,Global Systems,,,USR015,Stephanie Garcia,SDR016,SDR Avery,Miami,FL,Telecommunications,Internet Service,518559,46.7,$10M-$50M,156
ACC000941,Quantum Technologies - South,ACC000250,Quantum Technologies,USR015,Stephanie Garcia,SDR001,SDR Jordan,Las Vegas,NV,Real Estate,REITs,537657,34.42,$100M-$500M,2925
ACC000942,Zenith Services - Central,ACC000446,Zenith Services,USR004,James Wilson,SDR029,SDR Alex,San Francisco,CA,Energy,Oil & Gas,211979,27.58,<$10M,60
ACC000943,Phoenix Industries,,,USR004,James Wilson,SDR049,SDR Casey,Raleigh,NC,Professional Services,Consulting,542831,22.07,$50M-$100M,687
ACC000944,Apex Services,,,USR009,Lauren Davis,SDR030,SDR Jordan,Portland,OR,Energy,Utilities,215009,63.27,$100M-$500M,2402
ACC000945,Phoenix Consulting,,,USR009,Lauren Davis,SDR010,SDR Taylor,Indianapolis,IN,Retail,Grocery,444621,25.94,$100M-$500M,3308
ACC000946,Dynamic Ventures,,,USR016,Brian Moore,SDR010,SDR Casey,Las Vegas,NV,Telecommunications,Cable,513106,37.48,<$10M,47
ACC000947,Global Inc,,,USR010,Christopher Lee,SDR017,SDR Alex,Jacksonville,FL,Energy,Utilities,219467,20.47,$10M-$50M,416
ACC000948,Vertex Holdings,,,USR016,Brian Moore,SDR012,SDR Avery,San Francisco,CA,Financial Services,Investment Management,521233,24.9,$50M-$100M,533
ACC000949,Apex Enterprises,,,USR004,James Wilson,SDR032,SDR Riley,Charlotte,NC,Telecommunications,Internet Service,511199,12.18,$100M-$500M,4464
ACC000950,Dynamic Solutions - North,ACC000662,Dynamic Solutions,USR013,Ashley Brown,SDR033,SDR Riley,Chicago,IL,Transportation,Airlines,489761,24.62,$100M-$500M,3202
ACC000951,Apex Systems,,,USR006,David Kim,SDR015,SDR Morgan,Portland,OR,Healthcare,Hospitals,623907,20.3,<$10M,87
ACC000952,Summit Consulting,,,USR003,Emily Thompson,,,Phoenix,AZ,Retail,Fashion,441997,20.07,<$10M,41
ACC000953,Innovative Holdings,,,USR002,Michael Rodriguez,SDR013,SDR Jordan,San Francisco,CA,Real Estate,Construction,532366,45.47,$10M-$50M,151
ACC000954,Stellar Group,,,USR019,Nicole Lewis,SDR047,SDR Jordan,Charlotte,NC,Transportation,Rideshare,484191,8.13,$50M-$100M,825
ACC000955,Summit International - West,ACC000438,Summit International,USR020,Matthew Walker,SDR022,SDR Taylor,Indianapolis,IN,Real Estate,Property Management,535649,17.02,$500M-$1B,7454
ACC000956,Quantum International,,,USR010,Christopher Lee,SDR049,SDR Jordan,Philadelphia,PA,Retail,Fashion,446229,29.4,$100M-$500M,3087
ACC000957,Advanced Services,,,USR010,Christopher Lee,SDR022,SDR Avery,Nashville,TN,Media & Entertainment,Music,513992,32.64,<$10M,23
ACC000958,Nexus Corp,,,USR016,Brian Moore,SDR040,SDR Casey,San Antonio,TX,Manufacturing,Automotive,313532,56.71,$10M-$50M,198
ACC000959,Quantum Technologies - East,ACC000250,Quantum Technologies,USR017,Jennifer White,,,Nashville,TN,Energy,Renewable Energy,217830,5.8,$100M-$500M,2103
ACC000960,Nexus Corp,,,USR011,Michelle Taylor,SDR029,SDR Riley,San Jose,CA,Manufacturing,Aerospace,317447,51.38,$100M-$500M,1023
ACC000961,Summit Partners - South,ACC000634,Summit Partners,USR015,Stephanie Garcia,SDR046,SDR Alex,San Antonio,TX,Energy,Oil & Gas,215193,10.44,<$10M,57
ACC000962,Atlas Corp,,,USR007,Amanda Foster,SDR018,SDR Avery,Houston,TX,Technology,Cybersecurity,513628,25.25,$10M-$50M,345
ACC000963,Premier Services,,,USR016,Brian Moore,SDR004,SDR Jamie,Houston,TX,Professional Services,HR Services,546614,7.5,<$10M,57
ACC000964,Strategic Consulting,,,USR014,Kevin Martinez,,,Minneapolis,MN,Media & Entertainment,Publishing,515896,1.89,$50M-$100M,787
ACC000965,Quantum Holdings,,,USR010,Christopher Lee,SDR050,SDR Taylor,Atlanta,GA,Healthcare,Health Insurance,626143,47.06,$500M-$1B,7959
ACC000966,Phoenix Systems,,,USR011,Michelle Taylor,SDR017,SDR Casey,Boston,MA,Media & Entertainment,Gaming,511379,16.0,<$10M,92
ACC000967,Stellar Services,,,USR017,Jennifer White,SDR002,SDR Riley,Denver,CO,Energy,Energy Storage,211525,39.65,$500M-$1B,7679
ACC000968,Vertex International,,,USR003,Emily Thompson,SDR035,SDR Jordan,Philadelphia,PA,Transportation,Public Transit,482437,18.57,$50M-$100M,739
ACC000969,Atlas Inc - East,ACC000754,Atlas Inc,USR015,Stephanie Garcia,SDR042,SDR Taylor,Austin,TX,Real Estate,Residential,536567,51.91,$10M-$50M,499
ACC000970,Advanced Group - Central,ACC000728,Advanced Group,USR010,Christopher Lee,SDR002,SDR Jamie,New York,NY,Professional Services,Marketing,547998,19.61,<$10M,38
ACC000971,Summit Services,,,USR012,Daniel Anderson,,,Portland,OR,Real Estate,REITs,533500,26.09,<$10M,28
ACC000972,Global Holdings,,,USR002,Michael Rodriguez,SDR005,SDR Riley,Austin,TX,Manufacturing,Aerospace,314770,18.12,$50M-$100M,603
ACC000973,Quantum Systems,,,USR007,Amanda Foster,SDR009,SDR Alex,Charlotte,NC,Retail,Department Stores,447145,9.88,<$10M,36
ACC000974,Atlas Systems,,,USR013,Ashley Brown,SDR006,SDR Jordan,Philadelphia,PA,Energy,Oil & Gas,219462,42.87,<$10M,36
ACC000975,Stellar Solutions - East,ACC000635,Stellar Solutions,USR014,Kevin Martinez,SDR033,SDR Jordan,Jacksonville,FL,Healthcare,Health Insurance,629335,27.93,<$10M,68
ACC000976,Titan Industries,,,USR004,James Wilson,SDR005,SDR Casey,Columbus,OH,Technology,SaaS,515926,3.29,<$10M,99
ACC000977,Summit Group - East,ACC000030,Summit Group,USR011,Michelle Taylor,SDR012,SDR Morgan,Denver,CO,Healthcare,Health Insurance,629497,51.94,<$10M,98
ACC000978,Summit Inc,,,USR010,Christopher Lee,SDR011,SDR Jamie,Columbus,OH,Media & Entertainment,Streaming,519496,23.05,$500M-$1B,6487
ACC000979,Apex International - West,ACC000057,Apex International,USR007,Amanda Foster,SDR017,SDR Riley,Boston,MA,Telecommunications,Mobile Carriers,511423,12.21,$10M-$50M,340
ACC000980,Titan Enterprises - North,ACC000730,Titan Enterprises,USR018,Ryan Clark,SDR011,SDR Taylor,Houston,TX,Technology,Data Analytics,514648,8.48,<$10M,18
ACC000981,Titan Inc,,,USR015,Stephanie Garcia,SDR020,SDR Alex,San Francisco,CA,Healthcare,Health Insurance,625208,13.1,<$10M,94
ACC000982,Phoenix Services - West,ACC000159,Phoenix Services,USR016,Brian Moore,SDR009,SDR Morgan,San Diego,CA,Transportation,Freight,483336,30.91,<$10M,20
ACC000983,Strategic Solutions - Central,ACC000513,Strategic Solutions,USR004,James Wilson,SDR012,SDR Casey,Las Vegas,NV,Professional Services,Consulting,546384,45.64,$50M-$100M,736
ACC000984,Quantum Services,,,USR011,Michelle Taylor,SDR038,SDR Taylor,Las Vegas,NV,Education,Tutoring,611560,24.89,$50M-$100M,909
ACC000985,Innovative Services - North,ACC000283,Innovative Services,USR005,Jessica Martinez,SDR011,SDR Morgan,Fort Worth,TX,Energy,Oil & Gas,218877,78.45,$10M-$50M,276
ACC000986,Summit Partners,,,USR018,Ryan Clark,SDR042,SDR Casey,Atlanta,GA,Manufacturing,Consumer Goods,316527,20.85,$10M-$50M,195
ACC000987,Dynamic International - Central,ACC000823,Dynamic International,USR015,Stephanie Garcia,SDR049,SDR Riley,Indianapolis,IN,Retail,Specialty Retail,446987,22.24,$10M-$50M,113
ACC000988,Phoenix Inc,,,USR018,Ryan Clark,SDR023,SDR Taylor,San Jose,CA,Transportation,Airlines,482359,9.75,$500M-$1B,9134
ACC000989,Quantum Group - South,ACC000851,Quantum Group,USR005,Jessica Martinez,,,San Diego,CA,Financial Services,FinTech,524255,31.49,$50M-$100M,681
ACC000990,Strategic Consulting - Central,ACC000964,Strategic Consulting,USR017,Jennifer White,SDR035,SDR Riley,San Diego,CA,Transportation,Rideshare,489697,43.33,<$10M,30
ACC000991,Apex Inc,,,USR005,Jessica Martinez,SDR013,SDR Jamie,Dallas,TX,Healthcare,Pharmaceuticals,627567,56.63,<$10M,76
ACC000992,Strategic Consulting,,,USR001,Sarah Chen,SDR014,SDR Casey,Las Vegas,NV,Energy,Energy Storage,212094,40.75,<$10M,62
ACC000993,Dynamic Services,,,USR008,Robert Jackson,SDR042,SDR Taylor,Columbus,OH,Financial Services,Insurance,524168,6.92,<$10M,54
ACC000994,Phoenix Group - South,ACC000474,Phoenix Group,USR013,Ashley Brown,SDR014,SDR Taylor,Charlotte,NC,Healthcare,Pharmaceuticals,625513,9.26,$100M-$500M,1044
ACC000995,Innovative Services,,,USR016,Brian Moore,SDR020,SDR Avery,Raleigh,NC,Education,Higher Education,618444,5.43,<$10M,53
ACC000996,Quantum Technologies,,,USR014,Kevin Martinez,SDR049,SDR Avery,San Jose,CA,Retail,E-commerce,442688,11.87,<$10M,87
ACC000997,Stellar Inc,,,USR014,Kevin Martinez,SDR050,SDR Jordan,Dallas,TX,Real Estate,REITs,535519,19.38,$500M-$1B,9160
ACC000998,Quantum Corp,,,USR004,James Wilson,SDR016,SDR Avery,Denver,CO,Telecommunications,Satellite,518106,12.07,$50M-$100M,553
ACC000999,Atlas Ventures,,,USR013,Ashley Brown,SDR038,SDR Jordan,Raleigh,NC,Professional Services,Marketing,542615,40.27,$50M-$100M,560
ACC001000,Titan Inc,,,USR002,Michael Rodriguez,SDR030,SDR Avery,Denver,CO,Manufacturing,Aerospace,311610,12.39,$500M-$1B,8537
ACC001001,Dynamic Solutions,,,USR011,Michelle Taylor,SDR002,SDR Jamie,Las Vegas,NV,Education,Higher Education,615153,34.13,$10M-$50M,449
ACC001002,Quantum Enterprises - East,ACC000426,Quantum Enterprises,USR015,Stephanie Garcia,SDR030,SDR Riley,Portland,OR,Telecommunications,Cable,515311,46.57,$100M-$500M,1657
ACC001003,Zenith Holdings - East,ACC000898,Zenith Holdings,USR013,Ashley Brown,SDR032,SDR Taylor,Minneapolis,MN,Manufacturing,Consumer Goods,316763,20.45,$50M-$100M,878
ACC001004,Zenith Technologies - North,ACC000162,Zenith Technologies,USR013,Ashley Brown,SDR041,SDR Avery,Philadelphia,PA,Manufacturing,Aerospace,314312,52.21,<$10M,100
ACC001005,Phoenix Corp,,,USR006,David Kim,SDR013,SDR Jordan,Denver,CO,Media & Entertainment,Publishing,519292,35.33,$50M-$100M,786
ACC001006,Atlas Ventures,,,USR007,Amanda Foster,SDR017,SDR Jamie,Phoenix,AZ,Retail,Fashion,449729,16.66,$10M-$50M,168
ACC001007,Stellar Ventures - Central,ACC000520,Stellar Ventures,USR019,Nicole Lewis,,,Austin,TX,Energy,Oil & Gas,218250,28.38,$100M-$500M,2007
ACC001008,Quantum Solutions,,,USR008,Robert Jackson,SDR029,SDR Morgan,Nashville,TN,Transportation,Airlines,483381,18.23,<$10M,41
ACC001009,Phoenix Industries,,,USR019,Nicole Lewis,SDR034,SDR Taylor,Denver,CO,Technology,DevOps,517342,49.03,$50M-$100M,861
ACC001010,Zenith Systems,,,USR012,Daniel Anderson,SDR021,SDR Taylor,Minneapolis,MN,Telecommunications,Cable,515045,39.81,$100M-$500M,3371
ACC001011,Titan Holdings - West,ACC000844,Titan Holdings,USR018,Ryan Clark,SDR047,SDR Morgan,Jacksonville,FL,Financial Services,Banking,524669,39.26,$10M-$50M,394
ACC001012,Stellar Ventures,,,USR006,David Kim,SDR036,SDR Avery,Nashville,TN,Technology,AI/ML,516695,9.34,$10M-$50M,461
ACC001013,Advanced Consulting,,,USR009,Lauren Davis,,,Las Vegas,NV,Financial Services,Banking,529041,18.84,$10M-$50M,491
ACC001014,Phoenix Group,,,USR010,Christopher Lee,SDR010,SDR Jamie,Atlanta,GA,Financial Services,FinTech,526152,17.85,$100M-$500M,4976
ACC001015,Stellar Solutions - Central,ACC000635,Stellar Solutions,USR004,James Wilson,SDR040,SDR Jordan,Chicago,IL,Real Estate,Commercial,533641,4.02,$50M-$100M,627
ACC001016,Apex International - West,ACC000057,Apex International,USR004,James Wilson,SDR026,SDR Jordan,Denver,CO,Real Estate,Residential,537347,10.74,$100M-$500M,2561
ACC001017,Vertex Enterprises,,,USR012,Daniel Anderson,SDR017,SDR Jamie,San Francisco,CA,Professional Services,Marketing,545268,9.65,$10M-$50M,216
ACC001018,Innovative Holdings,,,USR020,Matthew Walker,SDR044,SDR Alex,Jacksonville,FL,Telecommunications,Mobile Carriers,511028,20.94,$500M-$1B,9334
ACC001019,Nexus Solutions,,,USR019,Nicole Lewis,SDR012,SDR Jordan,San Antonio,TX,Technology,SaaS,519162,49.54,<$10M,37
ACC001020,Innovative Partners - Central,ACC000247,Innovative Partners,USR012,Daniel Anderson,SDR046,SDR Avery,Minneapolis,MN,Telecommunications,Mobile Carriers,513908,19.95,$10M-$50M,327
ACC001021,Innovative Services,,,USR010,Christopher Lee,SDR038,SDR Taylor,Indianapolis,IN,Technology,DevOps,512633,26.71,$10M-$50M,408
ACC001022,Global Technologies - Central,ACC000782,Global Technologies,USR013,Ashley Brown,SDR043,SDR Jordan,Seattle,WA,Financial Services,Payments,525034,26.23,$10M-$50M,222
ACC001023,Premier Ventures - East,ACC000070,Premier Ventures,USR002,Michael Rodriguez,,,San Francisco,CA,Media & Entertainment,Gaming,512618,27.16,$100M-$500M,1372
ACC001024,Strategic Consulting - Central,ACC000964,Strategic Consulting,USR018,Ryan Clark,SDR019,SDR Morgan,Austin,TX,Education,EdTech,614244,25.71,<$10M,90
ACC001025,Advanced Partners,,,USR004,James Wilson,SDR040,SDR Avery,Fort Worth,TX,Energy,Energy Storage,215705,47.38,$100M-$500M,3862
ACC001026,Summit Systems - North,ACC000296,Summit Systems,USR010,Christopher Lee,,,Las Vegas,NV,Technology,DevOps,519893,28.75,<$10M,50
ACC001027,Premier Group,,,USR012,Daniel Anderson,,,Los Angeles,CA,Professional Services,Consulting,548107,53.01,$50M-$100M,768
ACC001028,Premier Systems,,,USR006,David Kim,,,Portland,OR,Financial Services,Payments,524335,31.52,$10M-$50M,392
ACC001029,Atlas Systems,,,USR004,James Wilson,,,New York,NY,Education,Tutoring,616419,26.46,>$1B,35553
ACC001030,Advanced Group - North,ACC000728,Advanced Group,USR005,Jessica Martinez,SDR040,SDR Morgan,Detroit,MI,Manufacturing,Aerospace,317927,67.28,$50M-$100M,863
ACC001031,Quantum Industries,,,USR014,Kevin Martinez,,,Fort Worth,TX,Education,EdTech,614104,42.1,$100M-$500M,2999
ACC001032,Atlas Solutions,,,USR015,Stephanie Garcia,SDR005,SDR Morgan,Nashville,TN,Retail,Fashion,443603,3.52,$500M-$1B,9002
ACC001033,Dynamic Consulting,,,USR013,Ashley Brown,SDR019,SDR Casey,Minneapolis,MN,Healthcare,Pharmaceuticals,622777,34.3,$100M-$500M,2617
ACC001034,Stellar Systems,,,USR002,Michael Rodriguez,SDR008,SDR Jordan,San Diego,CA,Manufacturing,Industrial Equipment,317358,9.92,<$10M,98
ACC001035,Zenith Partners,,,USR015,Stephanie Garcia,SDR043,SDR Alex,Indianapolis,IN,Healthcare,Pharmaceuticals,624096,29.4,$100M-$500M,3969
ACC001036,Strategic Corp,,,USR009,Lauren Davis,,,Jacksonville,FL,Telecommunications,Mobile Carriers,511924,12.23,$10M-$50M,178
ACC001037,Dynamic International,,,USR015,Stephanie Garcia,SDR005,SDR Avery,Raleigh,NC,Retail,Fashion,449659,26.4,<$10M,30
ACC001038,Apex Holdings - North,ACC000081,Apex Holdings,USR003,Emily Thompson,SDR040,SDR Alex,Las Vegas,NV,Financial Services,Payments,526270,65.86,$10M-$50M,173
ACC001039,Global Ventures,,,USR013,Ashley Brown,SDR015,SDR Jordan,Atlanta,GA,Healthcare,Pharmaceuticals,629938,36.11,<$10M,93
ACC001040,Nexus International,,,USR015,Stephanie Garcia,,,San Diego,CA,Media & Entertainment,Film & TV,515096,21.94,$10M-$50M,425
ACC001041,Innovative Partners - West,ACC000247,Innovative Partners,USR018,Ryan Clark,,,San Diego,CA,Media & Entertainment,Music,513856,17.7,$500M-$1B,8182
ACC001042,Global Industries,,,USR005,Jessica Martinez,SDR046,SDR Jamie,Seattle,WA,Retail,Department Stores,447590,51.31,<$10M,90
ACC001043,Apex Industries - West,ACC000736,Apex Industries,USR015,Stephanie Garcia,SDR025,SDR Avery,Charlotte,NC,Telecommunications,Internet Service,516341,33.48,$50M-$100M,568
ACC001044,Summit Consulting,,,USR007,Amanda Foster,,,Las Vegas,NV,Professional Services,HR Services,546954,52.57,$500M-$1B,9490
ACC001045,Summit Industries,,,USR004,James Wilson,SDR020,SDR Avery,Raleigh,NC,Energy,Utilities,217752,42.43,<$10M,37
ACC001046,Zenith Technologies - Central,ACC000705,Zenith Technologies,USR014,Kevin Martinez,SDR002,SDR Avery,Portland,OR,Telecommunications,VoIP,513823,23.4,<$10M,97
ACC001047,Summit Enterprises,,,USR015,Stephanie Garcia,SDR049,SDR Taylor,San Francisco,CA,Real Estate,Residential,539693,31.39,$50M-$100M,948
ACC001048,Advanced Technologies,,,USR002,Michael Rodriguez,SDR021,SDR Jordan,Jacksonville,FL,Technology,Data Analytics,513467,70.28,$500M-$1B,7519
ACC001049,Vertex Ventures,,,USR015,Stephanie Garcia,SDR019,SDR Taylor,San Jose,CA,Healthcare,Medical Devices,623618,24.27,$500M-$1B,6245
ACC001050,Titan Enterprises,,,USR016,Brian Moore,SDR045,SDR Casey,Minneapolis,MN,Financial Services,FinTech,522857,23.33,$50M-$100M,575
ACC001051,Zenith Group - West,ACC000215,Zenith Group,USR016,Brian Moore,SDR050,SDR Taylor,New York,NY,Media & Entertainment,Streaming,516937,17.49,$500M-$1B,9791
ACC001052,Global Partners,,,USR019,Nicole Lewis,SDR006,SDR Riley,Jacksonville,FL,Real Estate,Residential,533210,36.25,$50M-$100M,846
